abbott.freestyle.www	{zho=22, swe=55, cos=1, fin=40, pol=49, tur=10, nor=18, dan=32, ara=751, por=63, vie=11, fra=166, deu=82, ita=95, eng=1484, ell=42, spa=189, nld=96, jpn=26, war=2, afr=3, hrv=28, slk=8, slv=12}
ac.ae.esu	
ac.ae.mbzuh.www	
ac.ae.sharjah.www	
ac.ae.skylineuniversity.repository	
ac.ae.uaeu	
ac.ae.uaeu.www	
ac.ae.zu.www	
ac.ferner.ar	
ac.id.uin-malang.etheses	
ac.il.bezalel.www	
ac.il.jamd.www	
ac.il.openu.cris	
ac.il.qsm	
ac.il.qsm.www	
ac.il.weizmann.davidson	
ac.ir.hzrc.mighatulhajj	
ac.ir.miu.journals.alh	
ac.ir.sbmu.journals	
ac.ma.flsht.www	
ac.ma.fod	
ac.ma.umi.fad	
ac.ma.usmba.fldm.www	
ac.ma.usmba.fpt	
ac.uod	
academy.altaelimia.www	
academy.arab.www	
academy.corrector	{rus=1, ara=664, pus=1, eng=590}
academy.itqanforeducators	
academy.nour	{tur=2, dan=2, gle=1, ara=659, rus=42, vie=4, deu=1, tha=1, lat=1, xho=2, eng=629}
ae.24	{ara=565, por=2, heb=2, fra=2, ell=2, spa=2, ita=1, jpn=1, eng=81}
ae.24.video	
ae.aba.www	{hun=1, ben=1, pol=2, ron=1, dan=1, ara=1115, por=2, slk=1, fra=1, deu=6, ita=3, slv=1, swa=98, eng=1150}
ae.abudhabichamber.www	{ara=87, eng=107}
ae.abudhabiculture	{srp=5, ara=97, rus=54, fra=5, eng=395}
ae.abudhabienv	{tur=132, ara=1430, eng=297}
ae.abuomar	{ces=5, dan=1, ara=541, wol=1, hat=1, swa=1, hrv=1, nno=1, xho=1, eng=442}
ae.adhafra.www	
ae.adhafra.www	{ara=380, eng=208}
ae.admn.www	{ara=193, glg=1, eng=151}
ae.adnec.www	{ara=36, eng=94}
ae.adsmehub.www	
ae.adsmehub.www	{ara=190, glg=1, slk=3, eng=367}
ae.adsports	
ae.adtv	
ae.afaqdubai	{eng=5}
ae.afaqdubai.www	
ae.agriline	
ae.ajmannews	
ae.ajmannews.www	
ae.alainclub	{ara=386, msa=1, lat=2, eng=444}
ae.alainclub.shop	{ara=47, glg=1, nld=6, eng=309}
ae.albayan.www	{ces=2, ara=5178, eng=61}
ae.aldafrah	{ara=1138, eng=1066}
ae.alebdaa.www	
ae.aletihad.www	{ara=886, eng=46}
ae.alittihad	
ae.alittihad.manager	
ae.alittihad.www	
ae.aliyat-filahiya.www	
ae.aljundi.www	
ae.aljundi.www	{ara=335, eng=234}
ae.alkhaleej.www	{ara=6}
ae.altibrah	{zho=1, glg=1, spa=4, bos=1, hin=3, nno=1, zul=6, dan=1, ara=1608, por=2, fra=3, deu=1, nya=1, ita=1, mal=1, msa=4, eng=805}
ae.alvexo.www	
ae.alwahdanews	{ara=372}
ae.alwatan	{ara=1752, eng=60}
ae.androeed	
ae.antonovich-design	
ae.antonovich-design	{rus=513, ara=438, eng=1584}
ae.apkcafe	
ae.apkcafe	{ara=1, kor=1, eng=1}
ae.apkgold	
ae.apkgold	{hun=1, jpn=2, tha=2, fry=1, nno=1, kor=4, tur=1, dan=3, ces=2, ara=171, rus=2, vol=1, sco=1, lat=1, eng=155}
ae.ashghal-amma-emirates.www	
ae.atitheatre	{rus=1, ara=2199, fra=3, eng=1482}
ae.austinmacauley	
ae.autoline24	{hun=5, swe=10, cos=1, est=56, fin=2, pol=103, tur=43, ces=8, nor=3, ron=16, dan=29, rus=1, ara=951, por=13, fra=5, deu=73, lit=4, ita=6, cat=1, ind=3, lat=6, jav=2, eng=198, lav=1, san=2, ile=1, glg=8, spa=1, nld=51, war=4, mlg=4, afr=4, fry=1, nno=9, slk=13, msa=1, xho=2}
ae.avatrade.www	
ae.awaan.www	
ae.awaan.www	{ara=2, eng=36}
ae.bathandbodyworks.www	{ara=57, eng=51}
ae.bawabatalsharqmall.www	
ae.baynounah	
ae.bilytica.www	{ara=296, lat=6, eng=751}
ae.binaryoption	{swe=4, spa=2, cos=2, snd=1, hin=3, hrv=1, srp=52, tur=2, ara=3725, rus=9, por=4, slk=2, fra=15, ita=5, fas=3, eng=6348}
ae.bioderma.www	{ara=47, eng=85}
ae.bitcoinnews	
ae.bloomingdales.ar	{ara=1835, eng=119}
ae.bookinghealth	{ara=1193, lat=1, eng=968}
ae.britishcouncil.www	{ara=102, eng=126}
ae.buy	
ae.carelink	
ae.carhire-online.www	{ara=293, por=266, cat=293}
ae.century.www	{ara=403, eng=1172}
ae.citroen.ar	
ae.citron	
ae.citron	{ara=1, eng=8}
ae.cmcdubai	
ae.coinrule.www	
ae.cool-mania.www	
ae.cuckooclocks.www	
ae.daima.ar	
ae.dctabudhabi.library.ar	
ae.dctabudhabi.library.ar	{zho=2, ara=392, por=46, deu=1, spa=14, cat=2, pol=1, lat=1, eng=390}
ae.dfsa.www	
ae.discus.www	
ae.discus.www	{eng=10}
ae.dragonmart.mall	
ae.dragonmart.mall	{ara=355, kaz=1, snd=2, fas=1, xho=1, pus=3, eng=730}
ae.drjobs	{zho=1, dan=1, rus=1, ara=444, por=2, fra=11, spa=1, deu=8, ita=1, jpn=2, eng=1574}
ae.dubai.invest	
ae.dubaicareers.jobs	{ara=209, eng=240}
ae.dubaichess.www	{ara=56, eng=766}
ae.dubaiinvestmentforum	
ae.dubaipost.www	{que=1, ara=705, lat=3, ibo=1, eng=279}
ae.dunelondon.ar	{ara=90, eng=89}
ae.dwa.www	{ara=235, eng=107}
ae.e-portal.www	{ara=113, eng=113}
ae.e3lan.www	
ae.ecg	
ae.edel-optics.www	
ae.efeel.www	
ae.ega.media	
ae.emarat-news	
ae.emirates4you	
ae.emiratesnewswire	
ae.enn	
ae.etisalat.www	{eng=17}
ae.exportpages	
ae.exportpages	{ara=394}
ae.eyeofdubai.www	
ae.fbs	
ae.fexuae	
ae.fibogroup.www	
ae.fibogroup.www	{ara=516, msa=8, ind=2, eng=515}
ae.fifacwc	
ae.financehouse.www	{ara=152, eng=276}
ae.flashtechnology.www	{ara=155, eng=35}
ae.flyxo	{dan=2, ara=261, smo=2, fra=1, oci=1, cos=1, nld=2, war=1, fin=2, hau=1, eng=274}
ae.footlocker.www	{dan=1, ara=263, mfe=1, eng=322}
ae.forexblog	
ae.forexbrokers.www	{ces=2, ara=130, fas=97, eng=277}
ae.fujairahtoday	{ara=1028, deu=1, eng=619}
ae.fxnewstoday.www	{ara=2396, msa=2, kha=1, ina=1, eng=332}
ae.fxpro.www	
ae.games-store.www	{dan=169, srp=1, ces=19, ara=421, glg=1, nno=6, lat=4, eng=421}
ae.gap.ar	{dan=2, ara=952, nno=1, eng=786}
ae.greenlandscapes	
ae.guess.www	{ara=614, eng=614}
ae.gutx	
ae.hheo	
ae.homify.www	
ae.hostwinds.www	{swe=1, dan=3, ara=204, glg=23, eng=100}
ae.hotcourses.www	{ara=995, msa=2, fra=1, eng=951}
ae.i-health.www	{eng=1}
ae.icss	{ara=511, uzb=1, eng=378}
ae.infinite-electronic.www	{glg=2, spa=1, nld=2, bos=2, hrv=15, dan=6, ces=3, zul=1, nor=1, ara=478, por=2, ltz=1, slk=1, deu=2, msa=2, ind=7, eng=295}
ae.investmentdubai	{ara=18, eng=19}
ae.itqanservices	{ara=2, eng=1}
ae.jbhsc	{ara=1620, fra=2, deu=2, cat=1, sot=1, eng=125}
ae.jeulia.www	
ae.jomla.blog	{ces=11, som=1, ara=197, ile=1, kha=1, eng=101}
ae.jumbo.www	{ile=2, ell=1, spa=2, nld=1, mlg=1, nno=2, dan=8, ces=7, nor=1, ara=758, slk=2, ita=1, uzb=1, sco=1, ind=3, lat=1, eng=1522}
ae.juniorcouture.www	{ara=1041, eng=755}
ae.kalima	{ara=6}
ae.kat.www	{ara=25, fra=9, eng=700}
ae.khorfakkanfc	{ara=8, fas=2, lit=1, eng=2}
ae.khorfakkansc.www	{ara=155}
ae.kulalusra	
ae.kulalusra.www	{ara=726, orm=1, eng=39}
ae.lacoste.www	{ara=215, nno=1, eng=457}
ae.lamarz	
ae.lamarz	{eng=1}
ae.lee	
ae.lee.www	
ae.lenstore	{snd=2, ara=257, jav=1, pus=5, eng=296}
ae.libabrod	{swe=236, ara=271, fra=1, epo=1, cos=1, nld=1, fin=3, nno=4, eng=220}
ae.liveagent.www	{ara=473, por=1, ltz=1, eng=392}
ae.lookfantastic.ar	
ae.louvreabudhabi.boutique	
ae.luxmall.ar	
ae.luxury-signature.ar	{ara=260, eng=2}
ae.machinengo	{dan=1, ara=441, deu=157, eng=7}
ae.machineryline	{hun=1, swe=9, pol=36, tur=7, ces=5, nor=4, ron=4, dan=45, ara=850, rus=1, por=2, fra=4, bre=1, deu=40, ita=72, ind=9, eng=192, lav=1, spa=1, kha=1, nld=41, war=2, nno=7, srp=1, slk=18, ltz=3, msa=8, xho=1}
ae.machinerypark.www	{glg=1, spa=1, nld=2, war=1, pol=2, fry=1, tur=1, ara=349, por=1, slk=1, ltz=1, fra=46, deu=131, ita=9, bul=6, slv=1, eng=353}
ae.majid	
ae.mamasandpapas.ar	{ara=1180, eng=10}
ae.manga	
ae.manuall	
ae.mashro3k	
ae.mbrf	{dan=1, ara=568, kha=1, eng=549}
ae.mbrf.www	
ae.mebusiness	{zho=5, ara=1382, ind=11, ita=1, eng=103}
ae.medcare.www	{ara=918, eng=929}
ae.mediclinic.www	{ara=815, eng=1680}
ae.meetion.www	{ara=460, eng=459}
ae.mideastnews	
ae.mohtawa	
ae.moltonbrown.www	{eng=1}
ae.monawala-emirates.www	
ae.mothercare.www	{ara=874, nno=1, sco=1, eng=719}
ae.mustadeem	{ara=138, eng=166}
ae.nakheelmall.www	{eng=116}
ae.nbdelemirate	{ara=286, eng=253}
ae.nbf	
ae.neuvoo	
ae.noortrends	{ara=1138, eng=42}
ae.onplan	{ara=239, vie=1, spa=1, pol=1, lat=4, eng=278}
ae.ounass.ar	{ara=52, fra=1, eng=8, pus=7}
ae.petz	{zul=1, ara=42, fra=1, xho=11, eng=670}
ae.philips.www	{zho=5, bos=7, sqi=10, aze=4, ces=4, ron=6, dan=2, ara=927, por=8, vol=1, fra=2, deu=23, lit=6, ukr=6, lat=3, jav=1, eng=1834, spa=28, mlg=3, nno=4, srp=11, slk=2, msa=1, slv=3}
ae.posterstore	{dan=6, ara=1034, fra=4, deu=1, nno=1, eng=1034}
ae.potterybarn.www	
ae.properstar.www	
ae.propertyfinder.www	{sna=1, orm=1, afr=1, nno=2, dan=3, tur=1, nor=1, ara=1052, msa=1, uzb=1, sco=1, ind=1, eng=2045}
ae.rafeeg	
ae.rafeeg.www	
ae.rakbank	
ae.rakmediaoffice.www	{ara=252, eng=311}
ae.rehlat.www	
ae.rizochem	{ara=424, ceb=1, fra=1, hau=1, sco=1, ind=4, lat=3, xho=4, nno=1, eng=440}
ae.royalfreeprivatepatients.www	{ara=62, glg=1, fra=1, eng=61}
ae.royatiqc	{ara=37, eng=36}
ae.savinghome	
ae.sedd	{ara=117, lat=29, eng=53}
ae.sedd.eservices	
ae.sephora.www	
ae.shahenat-emirates.www	
ae.shailah.www	
ae.shailah.www	{dan=1, ara=168, eng=168}
ae.sharjah24	
ae.sharjah24.www	
ae.sharjahcoop.www	{ara=39, eng=1162}
ae.sharjahevents	{eng=229}
ae.sheell	{ara=3, eng=4}
ae.shj.saa	{ara=380, spa=2, eng=448}
ae.slcbranches	{eng=1}
ae.sogarab	{ces=3, zul=28, kin=1, ara=1153, snd=1, nno=3, eng=621}
ae.sorbonne.www	{zul=1, ara=87, fra=57, eng=290}
ae.spadix.www	
ae.sporthorses.www	
ae.sputnikarabic	
ae.stoore	{ara=92, eng=92}
ae.storm.www	
ae.taifbooks	
ae.thearabicteacher	
ae.thearabicteacher	{eng=190}
ae.theperfectgift.ar	{ara=379, eng=78}
ae.thephuketexpress	
ae.tiac	
ae.tii.www	
ae.tii.www	{dan=6, ara=350, spa=1, eng=724}
ae.tire.www	{ara=364, xho=6, eng=827}
ae.torino	{ara=72, eng=72}
ae.toryburch.www	{ara=515, eng=988}
ae.tribalwars.forum	{dan=5, ara=170, por=1, eng=163}
ae.tulipflower	{rus=2, ara=21, eng=74}
ae.tumi.www	
ae.u	{ara=78, eng=208}
ae.uaenoc.www	{dan=3, ara=310, eng=194}
ae.uaeplus	
ae.uaeproleague	{ara=456, nld=1, eng=131}
ae.uaeproleague.www	{dan=1, ara=868, fas=1, eng=738}
ae.ubuy.www	
ae.ubuy.www	{tur=1, dan=1, ara=248, spa=1, deu=2, eng=805}
ae.ucoz.forum	{ara=136, por=2, eng=95}
ae.unioncoop.corporate	{ara=774, eng=1337}
ae.urgenttravel	
ae.vaadiorganics	
ae.victoriassecret.www	{ara=6700, msa=2, eng=7463}
ae.visitabudhabi	{zho=379, heb=167, pol=249, kor=211, nor=1, dan=6, rus=179, ara=463, smo=1, fra=181, wol=2, deu=183, ita=193, gla=2, eng=1534, san=2, gle=1, ile=10, spa=266, nld=29, jpn=298, afr=1, srp=3, slk=1, msa=8, swa=1, lug=1}
ae.vitaminx	{ara=189, lat=1, eng=193}
ae.voltuae	{ara=2, eng=2}
ae.wam.www	{que=1, zho=800, eus=1, heb=48, ben=1, pol=1, hin=142, sun=1, bis=2, pus=8, ron=1, tur=2, rus=440, ara=6074, por=726, aar=1, fra=629, deu=10, ita=6, sin=3, mal=147, fas=15, uzb=3, ind=19, eng=6660, spa=599, urd=564, srp=18, msa=13}
ae.waterfrontmarket	{eng=4}
ae.webike.www	
ae.wilio.www	
ae.wingie.www	
ae.wolfis	{eng=1}
ae.wondershare.drfone	{dan=1, ara=163, por=31, eng=163}
ae.wondershare.filmora	{ara=213, por=1, eng=213}
ae.xinhaimining	{ara=134, eng=18}
ae.yasmall.www	{ara=155, eng=340}
ae.yastv	
ae.zahratalkhaleej.www	{ara=2407, fra=4, ita=2, eng=249}
ae.zoutons	
ae.zoutons	{eng=257}
africa.dcparts	
agency.tr	
ai.tabby.helpcenter	
al.amw	{ara=597, eng=596}
am.armenpress	
am.armenpress.www	
am.armradio.ar	
app.abu3rab	
app.amad	{ara=121, eng=4}
app.apkapp	
app.apkplay	
app.appstoandroid	
app.carefast	
app.ertiqa	{ara=10, eng=1}
app.famcare	{ara=321, eng=1}
app.groupdocs.products	{hun=28, swe=11, zho=46, ceb=3, heb=29, est=21, fin=32, pol=30, hin=17, kor=96, ron=25, dan=33, tur=96, ces=31, ara=163, rus=31, por=34, vie=25, fra=101, deu=87, lit=25, cat=25, ita=13, fas=27, ukr=49, ind=35, lat=106, eng=1403, kat=18, lav=35, ell=30, kaz=22, spa=24, urd=33, nld=21, jpn=36, tha=17, hrv=30, srp=19, slk=28, hye=34, bul=24, msa=45, slv=27, amh=15}
app.hakeem	{ara=562, eng=76}
app.i-kitchen	{ara=129, eng=129}
app.instasaver	
app.malavida	
app.mammy.shop	
app.mirdad	{ara=27, eng=8}
app.mishmish	
app.mobiscore	{eng=1}
app.nasr.www	
app.netlify.kids123	{ara=46, por=1, fra=1, eng=44}
app.tafsir	{ara=2691, bos=206}
app.thndr.community	
app.thndr.thndrclaps	
app.trendat	{tur=44, ara=225, fra=1, spa=3, ita=5, eng=184}
app.wasplus	
app.web.akciemjlg	
app.web.bestcbdpbra	
app.web.bestcbdtcbl	
app.web.bestencbdbseq	
app.web.calmingnsbo	
app.web.cbddeutchmeg	
app.web.cbdoiljtyh	
app.web.cbdoilreviewknk	
app.web.cbdolpnb	
app.web.cbdreviewpys	
app.web.cbdreviewqqm	
app.web.cbdreviewsiuf	
app.web.sharebuyizlj	
app.welnes.web	
app.whats1plus	
app.whatsero	
app.whatsmodgold	
app.whatsplus-apps	
app.zawag	{ara=1152, glg=1, fra=433, ita=1, snd=1, msa=3, eng=448}
art.trendgallery	{ara=20, eng=338}
art.ward60.www	
asia.12go	{spa=1, war=5, tha=1, hrv=2, tur=12, dan=1, por=1, vie=1, deu=2, msa=7, ind=1, eng=15}
asia.arabpressreleases	
asia.arabpressreleases	{eng=4}
asia.concreteblockmachine	
asia.sencor.arabic.www	{ces=26, srp=6, ara=195, bos=2, bul=47, slv=18, hrv=58, eng=195}
at.integrationsfonds.sprachportal	
at.k-csi	
at.leaben	
at.papier-variationen	
at.szi-dunaj.ar	
at.zinke.ar	{zul=1, ara=161, heb=1, sco=1, ind=1, nno=3, eng=150}
autos.arabtrix	
az.azertag.special	
ba.ghb	{tur=193, ara=203, por=1, bos=772, fas=1, sqi=3, hrv=102, lat=13, eng=261}
bar.tifila.www	{eng=16}
basketball.egypt	{ara=82, eng=10}
be.aafashion	
be.aas-reclameatelier.www	
be.abruxelles.www	{tur=1, ara=293, fra=35, deu=2, ita=1, nld=23, fin=1, afr=1, eng=27}
be.adexpro.www	
be.alfabest	
be.amitax	
be.as-saintoise	
be.autoglashugo.www	
be.bebelgium.www	
be.bpabvba	
be.caseano	
be.cgservices.www	
be.cheznino	
be.chezninodinant	
be.ciles	
be.cococity	
be.copycenter-carpa	
be.dataqueen	
be.ddaemen	
be.dvl-customs	
be.dynahmiek	
be.ecsainteveronique.www	
be.gerdbalis	
be.gmsle	
be.goldens-atr	
be.ichiban-gent	
be.institutgaspard	
be.klaswesley.www	
be.kompromis.www	
be.lavirtu	
be.maesfashion	
be.mczebus	
be.metaltec	
be.modalyse	
